company,title
refurbed,Data Analyst - Marketing (f/m/x)
FactoryPal,IIoT Business Data Analyst (m/f/d)
Motorola Solutions,Market Analysis Internship
Ottobock,Power BI Report Designer (d/f/m)
Lovehoney Group,Business Analyst (eCommerce)
Jooble,Big Data Analyst / Business Analyst (m/w/d)
Jooble,Big Data Analyst / Business Analyst (m/w/d)
Capgemini,Business Analyst Data & AI Life Sciences (w/m/d)
Jooble,Big Data Analyst / Business Analyst (m/w/d)
Jooble,Big Data Analyst / Business Analyst (m/w/d)
THRYVE,Senior Digital Marketing Analyst
E.ON,CRM / Marketing Analyst (m/f/d) E.ON Hydrogen GmbH
Instapro Group,Senior Analyst (Commercial & Marketplace)
Personio,Marketing Web Analyst (d/f/m)
umaris GmbH & Co. KG,Big Data Analyst / Business Analyst (m/w/d)
umaris GmbH & Co. KG,Big Data Analyst / Business Analyst (m/w/d)
KoRo,(Senior) Marketing Analyst (m/f/d)
Peak Ace AG,Digital Marketing Analyst (m/w/d)
simplesurance,"Digital Business Analyst (all genders) - Berlin, Germany"
Avaloq,Business Analyst - Second Level Support
Instapro Group,Senior Analyst (Commercial & Marketplace)
KoRo,(Senior) Marketing Analyst (m/f/d)
Deutsche Rentenversicherung Bund,Businessanalyst*in (m/w/div)
Agoda,"Business Data Analyst (Bangkok Based, relocation provided)"
Engel & Völkers Commercial Berlin,Market Analyst / Research Analyst (m/w/d)
Zalando,Business Analyst - Customer Care (all genders)
FLEX Capital,Business AnalystIn
LYNX,Business Analyst
lawpilots,Business AnalystIn
Moyyn,Business Analyst (m/w/d)-43_CL_27_2
HomeToGo,[DE] SEA Performance Marketing Manager - Kurzurlaub [Berlin] (m/f/d)
Workwise,Business Analyst - Low Code / Datenbanken / Schnittstellenentwicklung (m/w/d)
Kuoni Tumlare,Business Analyst
Lufthansa Industry Solutions,Business Analyst (all genders) Digitalisierung
Verve Group,Business Analyst (f/m/d)
Odoo,Business Analyst (m/w/d)
Stealth iT Recruitment,Business Analyst
myGwork - LGBTQ+ Business Community,Business Analyst - Second Level Support
Avaloq,Business Analyst - Transactional (Level 2)
Breuninger,Business Analyst Onsite Vermarktung (m/w/d) // Remote möglich
Avaloq,Business Analyst - Transactional (Level 2)
PŸUR | Tele Columbus,Business Analyst Consumer Sales (all genders)
Instaffo,Senior Digital Marketing Analyst (m/w/d)
Dabster,Business Analyst
LYNX Berlin,Business Analyst
Avaloq,Business Analyst - Regulatory Reporting
DEVK Versicherungen,Duales Studium BWL/Versicherung B.A.
Peak Ace AG,Senior Digital Marketing Analyst (m/w/d)
CEVA Logistics,Business Case Analyst (m/w/d) Kontraktlogistik
Vay,Business Operations Analyst (Internship)
MediaMarktSaturn,Business Analyst (m/w/d)
GEMA,Business Analyst - Prozesse (m/w/d)
PŸUR | Tele Columbus,Business Analyst Consumer Sales (all genders)
InterEx Group,D365 F&O Business Analyst (SCM)
Deloitte,Business Analyst / Consultant Strategieberatung - Monitor Deloitte (m/w/d)
Verivox GmbH,Business Analyst Value Added Services (m/w/d)
myGwork - LGBTQ+ Business Community,Business Analyst - Regulatory Reporting
myGwork - LGBTQ+ Business Community,Business Analyst - Transactional (Level 2)
CBTW,Business Analyst (m/w/d)
CBTW,Business Analyst (m/w/d)
Zalando,Business Analyst - Customer Care (all genders)
FLEX Capital,Business AnalystIn
LYNX,Business Analyst
lawpilots,Business AnalystIn
Moyyn,Business Analyst (m/w/d)-43_CL_27_2
HomeToGo,[DE] SEA Performance Marketing Manager - Kurzurlaub [Berlin] (m/f/d)
Workwise,Business Analyst - Low Code / Datenbanken / Schnittstellenentwicklung (m/w/d)
Kuoni Tumlare,Business Analyst
Lufthansa Industry Solutions,Business Analyst (all genders) Digitalisierung
Verve Group,Business Analyst (f/m/d)
